frame,joint,x,y,bbox
968,rhan_smpl,126.62,73.33,"(96.1,73.8)-(181.8,390.8)"
969,lhan_smpl,142.72,82.96,"(92.3,83.8)-(185.4,387.0)"
969,rhan_smpl,127.67,82.79,"(92.3,83.8)-(185.4,387.0)"
976,reyecoco,129.44,113.07,"(79.7,114.5)-(214.5,382.6)"
977,reyecoco,129.22,109.8,"(81.1,112.3)-(225.8,383.2)"
981,reyecoco,130.29,90.53,"(82.6,91.7)-(240.6,375.0)"
990,reyecoco,125.65,112.19,"(97.8,112.4)-(247.0,375.9)"
995,rhan_smpl,80.39,240.52,"(81.0,100.3)-(198.3,367.6)"
1003,lhan_smpl,193.55,172.01,"(38.6,94.0)-(191.2,376.9)"
1007,lhan_smpl,213.35,177.39,"(40.2,92.5)-(212.8,371.7)"
1008,lwri_smpl,206.3,178.07,"(44.8,90.5)-(202.0,374.3)"
1008,lhan_smpl,216.76,184.16,"(44.8,90.5)-(202.0,374.3)"
1009,lhan_smpl,217.71,191.33,"(49.7,91.3)-(217.7,374.0)"
1013,lhan_smpl,187.27,218.8,"(65.3,96.7)-(185.9,370.0)"
1014,lhan_smpl,172.38,220.17,"(69.3,91.2)-(172.2,373.7)"
1015,lhan_smpl,161.31,230.4,"(73.7,94.0)-(160.4,371.7)"
1020,reyecoco,101.41,93.31,"(77.2,93.8)-(155.1,364.1)"
1021,reyecoco,101.17,94.0,"(77.2,95.4)-(155.4,365.5)"
1022,reyecoco,101.07,94.45,"(77.0,94.6)-(156.3,369.3)"
